lead_id,lead_date,campaign_name,channel,lead_source,age,age_group,gender,status,touchpoints,cost_per_lead,revenue,days_to_conversion,product_purchased,season,month,year,quarter,year_quarter,month_short,touchpoint_band
L1000,2023-04-15,Summer_Blast,Instagram,Referral,18,18-24,Female,Qualified,9,48.53,0.0,0,,Spring,April,2023,Q2,2023Q2,Apr,7–9
L1001,2024-09-08,Summer_Blast,Instagram,Organic,23,18-24,Female,Qualified,4,35.53,0.0,0,,Fall,September,2024,Q3,2024Q3,Sep,4–6
L1002,2023-06-13,Spring_Promo,Google Search,Referral,26,25-34,Male,Converted,6,71.96,1750.42,28,Social Media Manager,Summer,June,2023,Q2,2023Q2,Jun,4–6
L1003,2023-02-14,Back_to_School,Instagram,Referral,46,45-54,Female,Nurturing,9,49.59,0.0,0,,Winter,February,2023,Q1,2023Q1,Feb,7–9
L1004,2024-01-06,New_Year_Launch,Email,Referral,18,18-24,Male,Nurturing,12,23.55,0.0,0,,Winter,January,2024,Q1,2024Q1,Jan,10–12
L1005,2024-01-25,Summer_Blast,Facebook,Organic,30,25-34,Male,Converted,11,47.56,4253.5,21,Social Media Manager,Winter,January,2024,Q1,2024Q1,Jan,10–12
L1006,2024-06-30,Year_End_Push,YouTube,Organic,42,35-44,Female,Nurturing,3,59.58,0.0,0,,Summer,June,2024,Q2,2024Q2,Jun,1–3
L1007,2023-02-27,New_Year_Launch,YouTube,Paid Ads,40,35-44,Female,Qualified,1,49.58,0.0,0,,Winter,February,2023,Q1,2023Q1,Feb,1–3
L1008,2023-11-19,Year_End_Push,Instagram,Paid Ads,37,35-44,Female,Converted,8,39.25,2280.34,83,SEO Pro,Fall,November,2023,Q4,2023Q4,Nov,7–9
L1009,2024-08-20,New_Year_Launch,TikTok,Referral,27,25-34,Female,Nurturing,4,35.99,0.0,0,,Summer,August,2024,Q3,2024Q3,Aug,4–6
L1010,2024-11-27,Summer_Blast,Instagram,Organic,21,18-24,Female,Nurturing,2,43.44,0.0,0,,Fall,November,2024,Q4,2024Q4,Nov,1–3
L1011,2023-01-12,Year_End_Push,Google Search,Referral,65,55+,Male,Converted,2,71.61,3567.7,69,Social Media Manager,Winter,January,2023,Q1,2023Q1,Jan,1–3
L1012,2023-09-27,Black_Friday,Google Search,Paid Ads,43,35-44,Male,New Lead,3,77.44,0.0,0,,Fall,September,2023,Q3,2023Q3,Sep,1–3
L1013,2023-06-15,Summer_Blast,YouTube,Paid Ads,35,35-44,Female,Qualified,9,55.79,0.0,0,,Summer,June,2023,Q2,2023Q2,Jun,7–9
L1014,2023-11-11,Back_to_School,Instagram,Organic,52,45-54,Male,Converted,4,39.79,4451.04,11,Digital Ads Package,Fall,November,2023,Q4,2023Q4,Nov,4–6
L1015,2024-07-16,New_Year_Launch,TikTok,Paid Ads,68,55+,Male,Nurturing,9,31.3,0.0,0,,Summer,July,2024,Q3,2024Q3,Jul,7–9
L1016,2024-11-18,New_Year_Launch,YouTube,Paid Ads,69,55+,Male,Qualified,8,58.0,0.0,0,,Fall,November,2024,Q4,2024Q4,Nov,7–9
L1017,2024-07-21,Back_to_School,TikTok,Organic,25,25-34,Male,New Lead,4,32.6,0.0,0,,Summer,July,2024,Q3,2024Q3,Jul,4–6
L1018,2023-03-14,Spring_Promo,TikTok,Organic,19,18-24,Female,Converted,5,38.28,3510.4,28,CRM Integration,Spring,March,2023,Q1,2023Q1,Mar,4–6
